Column1,Column2,Column3,,
Cellular and Molecular Physiology ,Physiology,Life Sciences,,
Comparative and Evolutionary Physiology ,Physiology,Life Sciences,,
Endocrinology ,Physiology,Life Sciences,,
Exercise Physiology ,Physiology,Life Sciences,,
Systems and Integrative Physiology ,Physiology,Life Sciences,,
Other Physiology ,Physiology,Life Sciences,,
,Plant Sciences ,Life Sciences,,
Agricultural Science ,Plant Sciences,Life Sciences,,
Agronomy and Crop Sciences ,Plant Sciences,Life Sciences,,
Botany ,Plant Sciences,Life Sciences,,
Fruit Science ,Plant Sciences,Life Sciences,,
Horticulture ,Plant Sciences,Life Sciences,,
Plant Biology ,Plant Sciences,Life Sciences,,
Plant Breeding and Genetics ,Plant Sciences,Life Sciences,,
Plant Pathology ,Plant Sciences,Life Sciences,,
Other Plant Sciences ,Plant Sciences,Life Sciences,,
,Systems Biology ,Life Sciences,,
,Other Life Sciences ,Life Sciences,,
,, ,,
,,Medicine and Health Sciences ,,
,Alternative and Complementary Medicine ,Medicine and Health Sciences,,
,"Analytical, Diagnostic and Therapeutic Techniques and Equipment ",Medicine and Health Sciences,,
Anesthesia and Analgesia ,"Analytical, Diagnostic and Therapeutic Techniques and Equipment",Medicine and Health Sciences,,
Diagnosis ,"Analytical, Diagnostic and Therapeutic Techniques and Equipment",Medicine and Health Sciences,,
Equipment and Supplies ,"Analytical, Diagnostic and Therapeutic Techniques and Equipment",Medicine and Health Sciences,,
Investigative Techniques ,"Analytical, Diagnostic and Therapeutic Techniques and Equipment",Medicine and Health Sciences,,
"Surgical Procedures, Operative ","Analytical, Diagnostic and Therapeutic Techniques and Equipment",Medicine and Health Sciences,,
Therapeutics ,"Analytical, Diagnostic and Therapeutic Techniques and Equipment",Medicine and Health Sciences,,
"Other Analytical, Diagnostic and Therapeutic Techniques and Equipment ","Analytical, Diagnostic and Therapeutic Techniques and Equipment",Medicine and Health Sciences,,
,Anatomy,Medicine and Health Sciences,,
Animal Structures ,Anatomy,Medicine and Health Sciences,,
Body Regions ,Anatomy,Medicine and Health Sciences,,
Cardiovascular System ,Anatomy,Medicine and Health Sciences,,
Cells ,Anatomy,Medicine and Health Sciences,,
Digestive System ,Anatomy,Medicine and Health Sciences,,
Embryonic Structures ,Anatomy,Medicine and Health Sciences,,
Endocrine System ,Anatomy,Medicine and Health Sciences,,
Fluids and Secretions ,Anatomy,Medicine and Health Sciences,,
Hemic and Immune Systems ,Anatomy,Medicine and Health Sciences,,
Integumentary System ,Anatomy,Medicine and Health Sciences,,
Musculoskeletal System ,Anatomy,Medicine and Health Sciences,,
Nervous System ,Anatomy,Medicine and Health Sciences,,
Respiratory System ,Anatomy,Medicine and Health Sciences,,
Sense Organs ,Anatomy,Medicine and Health Sciences,,
Stomatognathic System ,Anatomy,Medicine and Health Sciences,,
Tissues ,Anatomy,Medicine and Health Sciences,,
Urogenital System ,Anatomy,Medicine and Health Sciences,,
,Bioethics and Medical Ethics ,Medicine and Health Sciences,,
,Chemicals and Drugs ,Medicine and Health Sciences,,
"Amino Acids, Peptides, and Proteins ",Chemicals and Drugs,Medicine and Health Sciences,,
Biological Factors ,Chemicals and Drugs,Medicine and Health Sciences,,
Biomedical and Dental Materials ,Chemicals and Drugs,Medicine and Health Sciences,,
Carbohydrates ,Chemicals and Drugs,Medicine and Health Sciences,,
Chemical Actions and Uses ,Chemicals and Drugs,Medicine and Health Sciences,,
Complex Mixtures ,Chemicals and Drugs,Medicine and Health Sciences,,
Enzymes and Coenzymes ,Chemicals and Drugs,Medicine and Health Sciences,,
Heterocyclic Compounds ,Chemicals and Drugs,Medicine and Health Sciences,,
"Hormones, Hormone Substitutes, and Hormone Antagonists ",Chemicals and Drugs,Medicine and Health Sciences,,
Inorganic Chemicals ,Chemicals and Drugs,Medicine and Health Sciences,,
Lipids ,Chemicals and Drugs,Medicine and Health Sciences,,
Macromolecular Substances ,Chemicals and Drugs,Medicine and Health Sciences,,
"Nucleic Acids, Nucleotides, and Nucleosides ",Chemicals and Drugs,Medicine and Health Sciences,,
Organic Chemicals ,Chemicals and Drugs,Medicine and Health Sciences,,
Pharmaceutical Preparations ,Chemicals and Drugs,Medicine and Health Sciences,,
Polycyclic Compounds ,Chemicals and Drugs,Medicine and Health Sciences,,
Other Chemicals and Drugs ,Chemicals and Drugs,Medicine and Health Sciences,,
,Communication Sciences and Disorders ,Medicine and Health Sciences,,
Speech and Hearing Science ,Communication Sciences and Disorders,Medicine and Health Sciences,,
Speech Pathology and Audiology ,Communication Sciences and Disorders,Medicine and Health Sciences,,
,Dentistry ,Medicine and Health Sciences,,
Dental Materials ,Dentistry,Medicine and Health Sciences,,
Dental Public Health and Education ,Dentistry,Medicine and Health Sciences,,
Endodontics and Endodontology ,Dentistry,Medicine and Health Sciences,,
Oral and Maxillofacial Surgery ,Dentistry,Medicine and Health Sciences,,
Oral Biology and Oral Pathology ,Dentistry,Medicine and Health Sciences,,
Orthodontics and Orthodontology ,Dentistry,Medicine and Health Sciences,,
Pediatric Dentistry and Pedodontics,Dentistry,Medicine and Health Sciences,,
Periodontics and Periodontology ,Dentistry,Medicine and Health Sciences,,
Prosthodontics and Prosthodontology ,Dentistry,Medicine and Health Sciences,,
Other Dentistry ,Dentistry,Medicine and Health Sciences,,
,Dietetics and Clinical Nutrition ,Medicine and Health Sciences,,
,Diseases ,Medicine and Health Sciences,,
Animal Diseases ,Diseases,Medicine and Health Sciences,,
Bacterial Infections and Mycoses ,Diseases,Medicine and Health Sciences,,
Cardiovascular Diseases ,Diseases,Medicine and Health Sciences,,
"Congenital, Hereditary, and Neonatal Diseases and Abnormalities ",Diseases,Medicine and Health Sciences,,
Digestive System Diseases ,Diseases,Medicine and Health Sciences,,
Disease Modeling ,Diseases,Medicine and Health Sciences,,
Disorders of Environmental Origin ,Diseases,Medicine and Health Sciences,,
Endocrine System Diseases ,Diseases,Medicine and Health Sciences,,
Eye Diseases ,Diseases,Medicine and Health Sciences,,
Female Urogenital Diseases and Pregnancy Complications ,Diseases,Medicine and Health Sciences,,
Hemic and Lymphatic Diseases ,Diseases,Medicine and Health Sciences,,
Immune System Diseases ,Diseases,Medicine and Health Sciences,,
Male Urogenital Diseases ,Diseases,Medicine and Health Sciences,,
Musculoskeletal Diseases ,Diseases,Medicine and Health Sciences,,
Neoplasms ,Diseases,Medicine and Health Sciences,,
Nervous System Diseases ,Diseases,Medicine and Health Sciences,,
Nutritional and Metabolic Diseases ,Diseases,Medicine and Health Sciences,,
Otorhinolaryngologic Diseases ,Diseases,Medicine and Health Sciences,,
Parasitic Diseases ,Diseases,Medicine and Health Sciences,,
"Pathological Conditions, Signs and Symptoms ",Diseases,Medicine and Health Sciences,,
Respiratory Tract Diseases ,Diseases,Medicine and Health Sciences,,
Skin and Connective Tissue Diseases ,Diseases,Medicine and Health Sciences,,
Stomatognathic Diseases ,Diseases,Medicine and Health Sciences,,
Virus Diseases ,Diseases,Medicine and Health Sciences,,
,Health Information Technology ,Medicine and Health Sciences,,
,Health and Medical Administration ,Medicine and Health Sciences,,
,Knowledge Translation ,Medicine and Health Sciences,,
,Medical Education ,Medicine and Health Sciences,,
,Medical Sciences ,Medicine and Health Sciences,,
"Biochemical Phenomena, Metabolism, and Nutrition ",Medical Sciences,Medicine and Health Sciences,,
"Biological Phenomena, Cell Phenomena, and Immunity ",Medical Sciences,Medicine and Health Sciences,,
Chemical and Pharmacologic Phenomena ,Medical Sciences,Medicine and Health Sciences,,
Circulatory and Respiratory Physiology ,Medical Sciences,Medicine and Health Sciences,,
"Digestive, Oral, and Skin Physiology ",Medical Sciences,Medicine and Health Sciences,,
Genetic Phenomena ,Medical Sciences,Medicine and Health Sciences,,
Genetic Processes ,Medical Sciences,Medicine and Health Sciences,,
Genetic Structures ,Medical Sciences,Medicine and Health Sciences,,
Medical Anatomy ,Medical Sciences,Medicine and Health Sciences,,
Medical Biochemistry ,Medical Sciences,Medicine and Health Sciences,,
Medical Biomathematics and Biometrics ,Medical Sciences,Medicine and Health Sciences,,
Medical Biophysics ,Medical Sciences,Medicine and Health Sciences,,
Medical Biotechnology,Medical Sciences,Medicine and Health Sciences,,
Medical Cell Biology ,Medical Sciences,Medicine and Health Sciences,,
Medical Genetics ,Medical Sciences,Medicine and Health Sciences,,
Medical Immunology ,Medical Sciences,Medicine and Health Sciences,,
Medical Microbiology ,Medical Sciences,Medicine and Health Sciences,,
Medical Molecular Biology ,Medical Sciences,Medicine and Health Sciences,,
Medical Neurobiology ,Medical Sciences,Medicine and Health Sciences,,
Medical Nutrition ,Medical Sciences,Medicine and Health Sciences,,
Medical Pathology ,Medical Sciences,Medicine and Health Sciences,,
Medical Pharmacology ,Medical Sciences,Medicine and Health Sciences,,
Medical Physiology ,Medical Sciences,Medicine and Health Sciences,,
Medical Toxicology ,Medical Sciences,Medicine and Health Sciences,,
"Musculoskeletal, Neural, and Ocular Physiology ",Medical Sciences,Medicine and Health Sciences,,
Neurosciences ,Medical Sciences,Medicine and Health Sciences,,
Physiological Processes ,Medical Sciences,Medicine and Health Sciences,,
Reproductive and Urinary Physiology ,Medical Sciences,Medicine and Health Sciences,,
Other Medical Sciences ,Medical Sciences,Medicine and Health Sciences,,
,Medical Specialties ,Medicine and Health Sciences,,
Allergy and Immunology ,Medical Specialties,Medicine and Health Sciences,,
Anesthesiology ,Medical Specialties,Medicine and Health Sciences,,
Cardiology ,Medical Specialties,Medicine and Health Sciences,,
Critical Care ,Medical Specialties,Medicine and Health Sciences,,
Dermatology ,Medical Specialties,Medicine and Health Sciences,,
Emergency Medicine ,Medical Specialties,Medicine and Health Sciences,,
"Endocrinology, Diabetes, and Metabolism ",Medical Specialties,Medicine and Health Sciences,,
Gastroenterology ,Medical Specialties,Medicine and Health Sciences,,
Geriatrics ,Medical Specialties,Medicine and Health Sciences,,
Hematology ,Medical Specialties,Medicine and Health Sciences,,
Hepatology ,Medical Specialties,Medicine and Health Sciences,,
Infectious Disease ,Medical Specialties,Medicine and Health Sciences,,
Nephrology ,Medical Specialties,Medicine and Health Sciences,,
Neurology ,Medical Specialties,Medicine and Health Sciences,,
Obstetrics and Gynecology ,Medical Specialties,Medicine and Health Sciences,,
Oncology ,Medical Specialties,Medicine and Health Sciences,,
Ophthalmology ,Medical Specialties,Medicine and Health Sciences,,
Orthopedics ,Medical Specialties,Medicine and Health Sciences,,
Osteopathic Medicine and Osteopathy ,Medical Specialties,Medicine and Health Sciences,,
Otolaryngology ,Medical Specialties,Medicine and Health Sciences,,
Pathology ,Medical Specialties,Medicine and Health Sciences,,
Pediatrics ,Medical Specialties,Medicine and Health Sciences,,
Plastic Surgery ,Medical Specialties,Medicine and Health Sciences,,
Podiatry ,Medical Specialties,Medicine and Health Sciences,,
Preventative Medicine ,Medical Specialties,Medicine and Health Sciences,,
Primary Care ,Medical Specialties,Medicine and Health Sciences,,
Psychiatry ,Medical Specialties,Medicine and Health Sciences,,
Radiology ,Medical Specialties,Medicine and Health Sciences,,
Rheumatology ,Medical Specialties,Medicine and Health Sciences,,
Surgery ,Medical Specialties,Medicine and Health Sciences,,
Trauma,Medical Specialties,Medicine and Health Sciences,,
Urology ,Medical Specialties,Medicine and Health Sciences,,
Other Medical Specialties ,Medical Specialties,Medicine and Health Sciences,,
,Mental and Social Health ,Medicine and Health Sciences,,
Art Therapy ,Mental and Social Health,Medicine and Health Sciences,,
Clinical and Medical Social Work ,Mental and Social Health,Medicine and Health Sciences,,
Cognitive Behavioral Therapy ,Mental and Social Health,Medicine and Health Sciences,,
Community Health ,Mental and Social Health,Medicine and Health Sciences,,
Marriage and Family Therapy and Counseling ,Mental and Social Health,Medicine and Health Sciences,,
Psychiatric and Mental Health ,Mental and Social Health,Medicine and Health Sciences,,
Psychoanalysis and Psychotherapy ,Mental and Social Health,Medicine and Health Sciences,,
Substance Abuse and Addiction ,Mental and Social Health,Medicine and Health Sciences,,
Other Mental and Social Health ,Mental and Social Health,Medicine and Health Sciences,,
,Nursing ,Medicine and Health Sciences,,
Critical Care Nursing ,Nursing,Medicine and Health Sciences,,
Family Practice Nursing ,Nursing,Medicine and Health Sciences,,
Geriatric Nursing ,Nursing,Medicine and Health Sciences,,
"Maternal, Child Health and Neonatal Nursing ",Nursing,Medicine and Health Sciences,,
Nursing Administration ,Nursing,Medicine and Health Sciences,,
Nursing Midwifery ,Nursing,Medicine and Health Sciences,,
Occupational and Environmental Health Nursing ,Nursing,Medicine and Health Sciences,,
Pediatric Nursing ,Nursing,Medicine and Health Sciences,,
"Perioperative, Operating Room and Surgical Nursing ",Nursing,Medicine and Health Sciences,,
Psychiatric and Mental Health Nursing ,Nursing,Medicine and Health Sciences,,
Public Health and Community Nursing ,Nursing,Medicine and Health Sciences,,
Other Nursing ,Nursing,Medicine and Health Sciences,,
,Optometry ,Medicine and Health Sciences,,
,Organisms ,Medicine and Health Sciences,,
Algae ,Organisms,Medicine and Health Sciences,,
Animals ,Organisms,Medicine and Health Sciences,,
Archaea ,Organisms,Medicine and Health Sciences,,
Bacteria ,Organisms,Medicine and Health Sciences,,
Fungi ,Organisms,Medicine and Health Sciences,,
Mesomycetozoea ,Organisms,Medicine and Health Sciences,,
Plants ,Organisms,Medicine and Health Sciences,,
Viruses ,Organisms,Medicine and Health Sciences,,
,Pharmacy and Pharmaceutical Sciences ,Medicine and Health Sciences,,
Medicinal and Pharmaceutical Chemistry ,Pharmacy and Pharmaceutical Sciences,Medicine and Health Sciences,,
Natural Products Chemistry and Pharmacognosy ,Pharmacy and Pharmaceutical Sciences,Medicine and Health Sciences,,
Pharmaceutics and Drug Design ,Pharmacy and Pharmaceutical Sciences,Medicine and Health Sciences,,
Pharmacoeconomics and Pharmaceutical Economics ,Pharmacy and Pharmaceutical Sciences,Medicine and Health Sciences,,Other Pharmacy and Pharmaceutical Sciences 
"Pharmacy Administration, Policy and Regulation Medicine and Health Sciences",Pharmacy and Pharmaceutical Sciences,Medicine and Health Sciences,,
,Psychiatry and Psychology,Medicine and Health Sciences,,
Behavior and Behavior Mechanisms ,Psychiatry and Psychology,Medicine and Health Sciences,,
Behavioral Disciplines and Activities ,Psychiatry and Psychology,Medicine and Health Sciences,,
Dance Movement Therapy ,Psychiatry and Psychology,Medicine and Health Sciences,,
Mental Disorders ,Psychiatry and Psychology,Medicine and Health Sciences,,
Psychological Phenomena and Processes ,Psychiatry and Psychology,Medicine and Health Sciences,,
Other Psychiatry and Psychology ,Psychiatry and Psychology,Medicine and Health Sciences,,
,Public Health ,Medicine and Health Sciences,,
Clinical Epidemiology ,Public Health,Medicine and Health Sciences,,
Community Health and Preventive Medicine ,Public Health,Medicine and Health Sciences,,
Environmental Public Health ,Public Health,Medicine and Health Sciences,,
Epidemiology ,Public Health,Medicine and Health Sciences,,
Health and Medical Physics ,Public Health,Medicine and Health Sciences,,
Health Services Administration ,Public Health,Medicine and Health Sciences,,
Health Services Research ,Public Health,Medicine and Health Sciences,,
Influenza Humans ,Public Health,Medicine and Health Sciences,,
Influenza Virus Vaccines ,Public Health,Medicine and Health Sciences,,
International Public Health ,Public Health,Medicine and Health Sciences,,
Maternal and Child Health ,Public Health,Medicine and Health Sciences,,
Occupational Health and Industrial Hygiene ,Public Health,Medicine and Health Sciences,,
Public Health Education and Promotion ,Public Health,Medicine and Health Sciences,,
Women's Health ,Public Health,Medicine and Health Sciences,,
Other Public Health ,Public Health,Medicine and Health Sciences,,
,Rehabilitation and Therapy ,Medicine and Health Sciences,,
Kinesiotherapy ,Rehabilitation and Therapy,Medicine and Health Sciences,,
Movement and Mind-Body Therapies ,Rehabilitation and Therapy,Medicine and Health Sciences,,
Occupational Therapy ,Rehabilitation and Therapy,Medicine and Health Sciences,,
Orthotics and Prosthetics ,Rehabilitation and Therapy,Medicine and Health Sciences,,
Physical Therapy ,Rehabilitation and Therapy,Medicine and Health Sciences,,
Physiotherapy ,Rehabilitation and Therapy,Medicine and Health Sciences,,
Recreational Therapy ,Rehabilitation and Therapy,Medicine and Health Sciences,,
Somatic Bodywork and Related Therapeutic Practices ,Rehabilitation and Therapy,Medicine and Health Sciences,,
Vocational Rehabilitation Counseling ,Rehabilitation and Therapy,Medicine and Health Sciences,,
Other Rehabilitation and Therapy ,Rehabilitation and Therapy,Medicine and Health Sciences,,
,Sports Sciences ,Medicine and Health Sciences,,
,Veterinary Medicine ,Medicine and Health Sciences,,
Comparative and Laboratory Animal Medicine ,Veterinary Medicine,Medicine and Health Sciences,,
Large or Food Animal and Equine Medicine ,Veterinary Medicine,Medicine and Health Sciences,,
Small or Companion Animal Medicine ,Veterinary Medicine,Medicine and Health Sciences,,
Veterinary Anatomy ,Veterinary Medicine,Medicine and Health Sciences,,
Veterinary Infectious Diseases ,Veterinary Medicine,Medicine and Health Sciences,,
Veterinary Microbiology and Immunobiology ,Veterinary Medicine,Medicine and Health Sciences,,
Veterinary Pathology and Pathobiology ,Veterinary Medicine,Medicine and Health Sciences,,
Veterinary Physiology ,Veterinary Medicine,Medicine and Health Sciences,,
"Veterinary Preventive Medicine, Epidemiology, and Public Health ",Veterinary Medicine,Medicine and Health Sciences,,
Veterinary Toxicology and Pharmacology ,Veterinary Medicine,Medicine and Health Sciences,,
Other Veterinary Medicine,Veterinary Medicine,Medicine and Health Sciences,,
,Other Medicine and Health Sciences ,Medicine and Health Sciences,,
,, ,,
,,Physical Sciences and Mathematics ,,
,Applied Mathematics ,Physical Sciences and Mathematics,,
Control Theory ,Applied Mathematics,Physical Sciences and Mathematics,,
Dynamic Systems ,Applied Mathematics,Physical Sciences and Mathematics,,
Non-linear Dynamics ,Applied Mathematics,Physical Sciences and Mathematics,,
Numerical Analysis and Computation ,Applied Mathematics,Physical Sciences and Mathematics,,
Ordinary Differential Equations and Applied Dynamics ,Applied Mathematics,Physical Sciences and Mathematics,,
Partial Differential Equations ,Applied Mathematics,Physical Sciences and Mathematics,,
Other Applied Mathematics ,Applied Mathematics,Physical Sciences and Mathematics,,
,Astrophysics and Astronomy ,Physical Sciences and Mathematics,,
"Cosmology, Relativity, and Gravity ",Astrophysics and Astronomy,Physical Sciences and Mathematics,,
External Galaxies ,Astrophysics and Astronomy,Physical Sciences and Mathematics,,
Instrumentation ,Astrophysics and Astronomy,Physical Sciences and Mathematics,,
Physical Processes ,Astrophysics and Astronomy,Physical Sciences and Mathematics,,
"Stars, Interstellar Medium and the Galaxy ",Astrophysics and Astronomy,Physical Sciences and Mathematics,,
The Sun and the Solar System ,Astrophysics and Astronomy,Physical Sciences and Mathematics,,
Other Astrophysics and Astronomy ,Astrophysics and Astronomy,Physical Sciences and Mathematics,,
,Chemistry ,Physical Sciences and Mathematics,,
Analytical Chemistry ,Chemistry,Physical Sciences and Mathematics,,
Environmental Chemistry ,Chemistry,Physical Sciences and Mathematics,,
Inorganic Chemistry ,Chemistry,Physical Sciences and Mathematics,,
Materials Chemistry ,Chemistry,Physical Sciences and Mathematics,,
Medicinal-Pharmaceutical Chemistry ,Chemistry,Physical Sciences and Mathematics,,
Organic Chemistry ,Chemistry,Physical Sciences and Mathematics,,
Physical Chemistry ,Chemistry,Physical Sciences and Mathematics,,
Polymer Chemistry ,Chemistry,Physical Sciences and Mathematics,,
Radiochemistry ,Chemistry,Physical Sciences and Mathematics,,
Other Chemistry ,Chemistry,Physical Sciences and Mathematics,,
,Computer Sciences ,Physical Sciences and Mathematics,,
Artificial Intelligence and Robotics ,Computer Sciences,Physical Sciences and Mathematics,,
Databases and Information Systems ,Computer Sciences,Physical Sciences and Mathematics,,
Graphics and Human Computer Interfaces ,Computer Sciences,Physical Sciences and Mathematics,,
Numerical Analysis and Scientific Computing ,Computer Sciences,Physical Sciences and Mathematics,,
OS and Networks ,Computer Sciences,Physical Sciences and Mathematics,,
Programming Languages and Compilers ,Computer Sciences,Physical Sciences and Mathematics,,
Software Engineering ,Computer Sciences,Physical Sciences and Mathematics,,
Systems Architecture ,Computer Sciences,Physical Sciences and Mathematics,,
Theory and Algorithms ,Computer Sciences,Physical Sciences and Mathematics,,
Other Computer Sciences ,Computer Sciences,Physical Sciences and Mathematics,,
,Earth Sciences ,Physical Sciences and Mathematics,,
Biogeochemistry ,Earth Sciences,Physical Sciences and Mathematics,,
Cosmochemistry ,Earth Sciences,Physical Sciences and Mathematics,,
Geochemistry ,Earth Sciences,Physical Sciences and Mathematics,,
Geology,Earth Sciences,Physical Sciences and Mathematics,,
Geomorphology ,Earth Sciences,Physical Sciences and Mathematics,,
Geophysics and Seismology ,Earth Sciences,Physical Sciences and Mathematics,,
Glaciology ,Earth Sciences,Physical Sciences and Mathematics,,
Hydrology ,Earth Sciences,Physical Sciences and Mathematics,,
Mineral Physics ,Earth Sciences,Physical Sciences and Mathematics,,
Paleobiology ,Earth Sciences,Physical Sciences and Mathematics,,
Paleontology ,Earth Sciences,Physical Sciences and Mathematics,,
Sedimentology ,Earth Sciences,Physical Sciences and Mathematics,,
Soil Science ,Earth Sciences,Physical Sciences and Mathematics,,
Stratigraphy ,Earth Sciences,Physical Sciences and Mathematics,,
Tectonics and Structure ,Earth Sciences,Physical Sciences and Mathematics,,
Volcanology ,Earth Sciences,Physical Sciences and Mathematics,,
Other Earth Sciences ,Earth Sciences,Physical Sciences and Mathematics,,
,Environmental Sciences ,Physical Sciences and Mathematics,,
Environmental Health and Protection ,Environmental Sciences,Physical Sciences and Mathematics,,
Environmental Indicators and Impact Assessment ,Environmental Sciences,Physical Sciences and Mathematics,,
Environmental Monitoring ,Environmental Sciences,Physical Sciences and Mathematics,,
Natural Resource Economics ,Environmental Sciences,Physical Sciences and Mathematics,,
Natural Resources and Conservation ,Environmental Sciences,Physical Sciences and Mathematics,,
Natural Resources Management and Policy ,Environmental Sciences,Physical Sciences and Mathematics,,
"Oil, Gas, and Energy ",Environmental Sciences,Physical Sciences and Mathematics,,
Sustainability ,Environmental Sciences,Physical Sciences and Mathematics,,
Water Resource Management ,Environmental Sciences,Physical Sciences and Mathematics,,
Other Environmental Sciences ,Environmental Sciences,Physical Sciences and Mathematics,,
,Mathematics ,Physical Sciences and Mathematics,,
Algebra ,Mathematics,Physical Sciences and Mathematics,,
Algebraic Geometry ,Mathematics,Physical Sciences and Mathematics,,
Analysis ,Mathematics,Physical Sciences and Mathematics,,
Discrete Mathematics and Combinatorics ,Mathematics,Physical Sciences and Mathematics,,
Dynamical Systems ,Mathematics,Physical Sciences and Mathematics,,
Geometry and Topology ,Mathematics,Physical Sciences and Mathematics,,
Harmonic Analysis and Representation ,Mathematics,Physical Sciences and Mathematics,,
Logic and Foundations ,Mathematics,Physical Sciences and Mathematics,,
Number Theory ,Mathematics,Physical Sciences and Mathematics,,
Set Theory ,Mathematics,Physical Sciences and Mathematics,,
Other Mathematics ,Mathematics,Physical Sciences and Mathematics,,
,Oceanography and Atmospheric Sciences and Meteorology ,Physical Sciences and Mathematics,,
Atmospheric Sciences ,Oceanography and Atmospheric Sciences and Meteorology,Physical Sciences and Mathematics,,
Climate ,Oceanography and Atmospheric Sciences and Meteorology,Physical Sciences and Mathematics,,
Fresh Water Studies ,Oceanography and Atmospheric Sciences and Meteorology,Physical Sciences and Mathematics,,
Meteorology ,Oceanography and Atmospheric Sciences and Meteorology,Physical Sciences and Mathematics,,
Oceanography,Oceanography and Atmospheric Sciences and Meteorology,Physical Sciences and Mathematics,,
Other Oceanography and Atmospheric Sciences and Meteorology ,Oceanography and Atmospheric Sciences and Meteorology,Physical Sciences and Mathematics,,
,Physics ,Physical Sciences and Mathematics,,
"Atomic, Molecular and Optical Physics ",Physics,Physical Sciences and Mathematics,,
Biological and Chemical Physics ,Physics,Physical Sciences and Mathematics,,
Condensed Matter Physics ,Physics,Physical Sciences and Mathematics,,
Elementary Particles and Fields and String Theory ,Physics,Physical Sciences and Mathematics,,
Engineering Physics ,Physics,Physical Sciences and Mathematics,,
Fluid Dynamics ,Physics,Physical Sciences and Mathematics,,
Nuclear ,Physics,Physical Sciences and Mathematics,,
Optics ,Physics,Physical Sciences and Mathematics,,
Plasma and Beam Physics ,Physics,Physical Sciences and Mathematics,,
Quantum Physics ,Physics,Physical Sciences and Mathematics,,
Other Physics ,Physics,Physical Sciences and Mathematics,,
,Statistics and Probability ,Physical Sciences and Mathematics,,
Applied Statistics ,Statistics and Probability,Physical Sciences and Mathematics,,
Biometry ,Statistics and Probability,Physical Sciences and Mathematics,,
Biostatistics ,Statistics and Probability,Physical Sciences and Mathematics,,
Categorical Data Analysis ,Statistics and Probability,Physical Sciences and Mathematics,,
Clinical Trials ,Statistics and Probability,Physical Sciences and Mathematics,,
Design of Experiments and Sample Surveys ,Statistics and Probability,Physical Sciences and Mathematics,,
Institutional and Historical ,Statistics and Probability,Physical Sciences and Mathematics,,
Longitudinal Data Analysis and Time Series ,Statistics and Probability,Physical Sciences and Mathematics,,
Microarrays ,Statistics and Probability,Physical Sciences and Mathematics,,
Multivariate Analysis ,Statistics and Probability,Physical Sciences and Mathematics,,
Probability ,Statistics and Probability,Physical Sciences and Mathematics,,
Statistical Methodology ,Statistics and Probability,Physical Sciences and Mathematics,,
Statistical Models ,Statistics and Probability,Physical Sciences and Mathematics,,
Statistical Theory ,Statistics and Probability,Physical Sciences and Mathematics,,
Survival Analysis ,Statistics and Probability,Physical Sciences and Mathematics,,
Vital and Health Statistics ,Statistics and Probability,Physical Sciences and Mathematics,,
Other Statistics and Probability ,Statistics and Probability,Physical Sciences and Mathematics,,
,Other Physical Sciences and Mathematics ,Physical Sciences and Mathematics,,
,, ,,
,,Social and Behavioral Sciences ,,
,Agricultural and Resource Economics ,Social and Behavioral Sciences,,
,Anthropology ,Social and Behavioral Sciences,,
Archaeological Anthropology ,Anthropology,Social and Behavioral Sciences,,
Biological and Physical Anthropology ,Anthropology,Social and Behavioral Sciences,,
Folklore ,Anthropology,Social and Behavioral Sciences,,
Linguistic Anthropology ,Anthropology,Social and Behavioral Sciences,,
Social and Cultural Anthropology ,Anthropology,Social and Behavioral Sciences,,
Other Anthropology ,Anthropology,Social and Behavioral Sciences,,
,Communication ,Social and Behavioral Sciences,,
Broadcast and Video Studies ,Communication,Social and Behavioral Sciences,,
Communication Technology and New Media ,Communication,Social and Behavioral Sciences,,
Critical and Cultural Studies,Communication,Social and Behavioral Sciences,,
"Gender, Race, Sexuality, and Ethnicity in Communication ",Communication,Social and Behavioral Sciences,,
Graphic Communications ,Communication,Social and Behavioral Sciences,,
Health Communication ,Communication,Social and Behavioral Sciences,,
International and Intercultural Communication ,Communication,Social and Behavioral Sciences,,
Interpersonal and Small Group Communication ,Communication,Social and Behavioral Sciences,,
Journalism Studies ,Communication,Social and Behavioral Sciences,,
Mass Communication ,Communication,Social and Behavioral Sciences,,
Organizational Communication ,Communication,Social and Behavioral Sciences,,
Public Relations and Advertising ,Communication,Social and Behavioral Sciences,,
Social Influence and Political Communication ,Communication,Social and Behavioral Sciences,,
Speech and Rhetorical Studies ,Communication,Social and Behavioral Sciences,,
Other Communication ,Communication,Social and Behavioral Sciences,,
,Economics ,Social and Behavioral Sciences,,
Behavioral Economics ,Economics,Social and Behavioral Sciences,,
Econometrics ,Economics,Social and Behavioral Sciences,,
Economic History ,Economics,Social and Behavioral Sciences,,
Economic Theory ,Economics,Social and Behavioral Sciences,,
Finance ,Economics,Social and Behavioral Sciences,,
Growth and Development ,Economics,Social and Behavioral Sciences,,
Health Economics ,Economics,Social and Behavioral Sciences,,
Industrial Organization ,Economics,Social and Behavioral Sciences,,
International Economics ,Economics,Social and Behavioral Sciences,,
Labor Economics ,Economics,Social and Behavioral Sciences,,
Macroeconomics ,Economics,Social and Behavioral Sciences,,
Political Economy ,Economics,Social and Behavioral Sciences,,
Public Economics ,Economics,Social and Behavioral Sciences,,
Other Economics ,Economics,Social and Behavioral Sciences,,
,Geography ,Social and Behavioral Sciences,,
